20,20,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
4,8,2,2,2,1,2,3,6,2,2,2,2,2,3,2,2,1,4,4,
4,2,2,6,2,2,2,2,1,2,2,2,2,1,2,2,2,2,4,4,
4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,4,
4,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,4,4,
4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,4,4,
4,2,0,0,0,9,2,3,6,2,6,1,2,2,3,1,2,1,4,4,
4,2,0,6,6,0,2,2,2,2,2,2,2,2,3,1,2,2,4,4,
4,2,0,2,2,0,2,2,2,2,2,1,2,2,2,2,2,2,4,4,
4,2,0,2,2,0,2,3,2,2,2,1,2,2,3,2,2,2,4,4,
4,2,0,0,0,0,2,2,2,2,2,1,2,2,3,2,2,2,4,4,
4,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,4,4,
4,1,2,2,2,2,3,2,2,2,1,6,2,2,3,2,2,2,4,4,
4,2,2,2,2,2,3,2,2,2,1,2,2,2,3,3,3,3,4,4,
4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,9,4,4,
4,1,2,2,2,2,3,2,2,2,2,2,2,2,2,0,4,0,4,4,
4,2,1,2,2,2,3,2,2,2,2,2,2,2,3,0,4,0,4,4,
4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,4,0,4,4,
4,13,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,4,4,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
